Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
1.0,닥터 스트레인지: 대혼돈의 멀티버스,2022-05-04,59767696750.0,0.221,59767696750.0,5617130.0,5617130.0,2691.0,197744.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지",샘 레이미,"베네딕트 컴버배치,엘리자베스 올슨,베네딕트 웡,레이첼 맥아담스,치웨텔 에지오포,소치틀 고메즈"
2.0,범죄도시2,2022-05-18,52644281070.0,0.193999999999999,52644281070.0,5118273.0,5118273.0,2498.0,130518.0,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"마동석,손석구,최귀화,박지환,허동원,하준,정재광,남문철,박지영,이주원,음문석,김찬형,이규원,전진오,이다일,김영성,차우진,박광재,백승익,최재훈,우강민,강덕중,송요셉,서문호,한우열,권혁범,박은우,이도은,김이현,허승,이태규,최광희,권태호,권지훈,전재형,신재환,김원경,천준호,이원행,정수원,김희,이해원,정수일,김태욱,최형우,이시형,김서원,손승범,손상경,박주환,한상경,정우람,정명군,김운영,안재만,이관민,김승환,김무성,김병민,최형락,전국진,김동주,김영준,한상철,이명자,신재용,정동룡,오명진,김상욱,정수용,이광기,이재혁,김대근,선율우,김승현,전정일,백요섭,전찬원,황정윤,이창훈,곽장륜,조용환,김민규,정인기,윤병희,이병희"
4.0,해적: 도깨비 깃발,2022-01-26,12523963990.0,0.046,12523963990.0,1339242.0,1339242.0,1708.0,117320.0,한국,한국,"(주)어뉴,오스카10스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"어드벤처,액션,코미디",김정훈,"조정우,김은준,강하늘,한효주,이광수,권상우,채수빈,오세훈,김성오,박지환,윤상돈,임세찬"
5.0,신비한 동물들과 덤블도어의 비밀,2022-04-13,12287268510.0,0.045,12287268510.0,1192824.0,1192824.0,2207.0,105995.0,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"어드벤처,가족,판타지",데이빗 예이츠,"에디 레드메인,주드 로,매즈 미켈슨,캐서린 워터스턴,댄 포글러,앨리슨 수돌,에즈라 밀러,칼럼 터너,리차드 코일,올리버 마수치"
6.0,더 배트맨,2022-03-01,9338714700.0,0.034,9338714700.0,904156.0,904156.0,2370.0,97369.0,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,범죄,드라마",맷 리브스,"로버트 패틴슨,폴 다노,조 크라비츠,앤디 서키스,제프리 라이트,콜린 파렐,피터 사스가드,존 터투로"
7.0,씽2게더,2022-01-05,8185529050.0,0.03,8188147050.0,883782.0,884072.0,1251.0,72551.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,토리 켈리,할시,퍼렐 윌리엄스,보노"
8.0,킹메이커,2022-01-26,7313720610.0,0.027,7377557110.0,775583.0,783182.0,1185.0,80070.0,한국,한국,(주)씨앗필름,플러스엠 엔터테인먼트,15세이상관람가,드라마,변성현,"설경구,이선균,유재명,조우진,박인환,이해영,김성오,전배수,서은수,김종수,윤경호,김새벽,정재성,배종옥,진선규,이재원,김지훈,김주령,장인섭,윤세웅,서상원,허동원,김재화,최광제,윤사봉,이동용,최선규,홍현종,이지호,남승화,정수지,백익남,정우혁,곽동현,문정대,오봄길,송요셉,천재홍,성일,손경원,박세준,안동구,고동업,이동희,박찬규,이상택,김귀선,전현숙,김병철,조현숙,김두은,장예진,양진억,이화룡,마정필,김규인,류연수,곽자형,강홍렬,김동현,이서환,김진모,류대식,구민혁,유승일,전필재,나현민,박재현,선우,김미진,고재경,윤소담,김도영,석승훈,이규창,김경일,김병철,김용,박준형,이진호,장다은,장지연,정해은,전성원,허성재,임승민"
9.0,언차티드,2022-02-16,7116304100.0,0.026,7116304100.0,730924.0,730924.0,1536.0,77036.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처",루벤 플레셔,"톰 홀랜드,마크 월버그,안토니오 반데라스,소피아 알리,타티 가브리엘"
10.0,경관의 피,2022-01-05,6687389520.0,0.025,6734232520.0,679503.0,684681.0,1187.0,57409.0,한국,한국,리양필름(주),(주)에이스메이커무비웍스,15세이상관람가,"범죄,드라마",이규만,"이창윤,조진웅,최우식,박희순,권율,박명훈,홍기준,이얼,이현욱,백현진,박정범,원현준,손인용,연제욱,차엽,이도군,윤진영,김그림,임철형,곽민석,남문철,이성우,김준범,김재영,한갑수,이운산,정의욱,박기덕,서영화,박상훈,장서경,이준기,김한나,이동욱,박재철,한창현,허형규,정민성,김태겸,신철용,정종우,천재홍,조정환,백서빈,장래군,이택근,임영우,문정웅,김선웅,진시원,조한결,서호철,박응수,우수빈,강후재,이태구,정수일,정수용,박영빈,김태준,엄지만,김주아,이서안,박미애,이민영,김선문,이원희,이다령,이장규,이재은,임현욱,노성후,박희진,변동준,김곤,오진호,김유엽,송여진,이진영,김상욱,장의돈,오규택,장서이,임정옥,한동균,이왕수,최현종,황영수,이한승,정광필,신승빈,진지민,박응수,노은하,정성모,오진호"
11.0,극장판 주술회전 0,2022-02-17,6321179810.0,0.023,6321179810.0,636470.0,636470.0,843.0,65904.0,일본,일본,,(주)대교 미디어콘텐츠사업본부,15세이상관람가,애니메이션,박성후,"오가타 메구미,하나자와 카나,코마츠 미카코,우치야마 코우키,세키 토모카즈,나카무라 유이치,사쿠라이 타카히로"
